NAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_zed_run_1,129.10%,28.65%,1.107GiB / 3.863GiB
NAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_zed_run_1,127.88%,28.63%,1.106GiB / 3.863GiB
NAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_zed_run_1,131.20%,28.63%,1.106GiB / 3.863GiB
NAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_zed_run_1,132.65%,28.63%,1.106GiB / 3.863GiB
NAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_zed_run_1,132.04%,28.63%,1.106GiB / 3.863GiB
NAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_zed_run_1,130.40%,28.63%,1.106GiB / 3.863GiB
NAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_zed_run_1,132.46%,28.63%,1.106GiB / 3.863GiB
NAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_zed_run_1,131.96%,28.63%,1.106GiB / 3.863GiB
NAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_zed_run_1,131.19%,28.63%,1.106GiB / 3.863GiB
NAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_zed_run_1,129.47%,28.64%,1.106GiB / 3.863GiB
NAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_zed_run_1,131.68%,28.63%,1.106GiB / 3.863GiB
NAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_zed_run_1,130.26%,28.63%,1.106GiB / 3.863GiB
NAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_zed_run_1,130.76%,28.63%,1.106GiB / 3.863GiB
NAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_zed_run_1,129.78%,28.63%,1.106GiB / 3.863GiB
NAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_zed_run_1,131.29%,28.63%,1.106GiB / 3.863GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_zed_run_1,20.28%,27.66%,1.069GiB / 3.863GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_zed_run_1,20.28%,27.66%,1.069GiB / 3.863GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_zed_run_1,133.97%,27.66%,1.069GiB / 3.863GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_zed_run_1,133.97%,27.66%,1.069GiB / 3.863GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_zed_run_1,130.50%,27.66%,1.069GiB / 3.863GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_zed_run_1,130.50%,27.66%,1.069GiB / 3.863GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_zed_run_1,132.36%,27.66%,1.069GiB / 3.863GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_zed_run_1,132.36%,27.66%,1.069GiB / 3.863GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_zed_run_1,130.20%,27.66%,1.069GiB / 3.863GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_zed_run_1,130.20%,27.66%,1.069GiB / 3.863GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
