[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,2.56%,0.58%,22.99MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,2.31%,0.97%,38.29MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,1.92%,0.56%,22.17MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,2.20%,1.08%,42.91MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,1.63%,0.87%,34.3MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,1.75%,1.20%,47.41MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,7.01%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,2.56%,0.58%,22.99MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,2.31%,0.97%,38.29MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,1.92%,0.56%,22.17MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,2.20%,1.08%,42.91MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,1.63%,0.87%,34.3MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,1.75%,1.20%,47.41MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,7.01%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,16.95%,0.58%,22.99MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,14.13%,0.97%,38.29MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,11.33%,0.56%,22.17MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,12.69%,1.08%,42.91MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.27%,0.87%,34.3MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,6.65%,1.20%,47.41MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,6.16%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,16.95%,0.58%,22.99MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,14.13%,0.97%,38.29MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,11.33%,0.56%,22.17MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,12.69%,1.08%,42.91MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.27%,0.87%,34.3MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,6.65%,1.20%,47.41MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,6.16%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,16.77%,0.58%,23MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,13.48%,0.97%,38.3MiB / 3.871GiB
