time,uptime,jetson_clocks,nvp model,CPU1,CPU2,CPU3,CPU4,GPU,RAM,EMC,IRAM,SWAP,APE,NVENC,NVDEC,NVJPG,fan,Temp AO,Temp CPU,Temp GPU,Temp PLL,Temp thermal,power cur,power avg
2022-04-05 12:17:47.839228,0:10:29.330000,OFF,MAXN,58,54,44,45,0,1727248,1727248,1727248,0,25,OFF,OFF,OFF,0.0,36.0,33.5,30.0,30.0,31.25,2995,2995
2022-04-05 12:17:47.840581,0:10:29.330000,OFF,MAXN,58,54,44,45,0,1727248,1727248,1727248,0,25,OFF,OFF,OFF,0.0,36.0,33.5,30.0,30.0,31.25,2995,2995
2022-04-05 12:17:48.339339,0:10:29.830000,OFF,MAXN,36,29,27,25,0,1722780,1722780,1722780,0,25,OFF,OFF,OFF,0.0,36.0,32.5,29.5,29.0,31.25,1713,2354
2022-04-05 12:17:48.849393,0:10:30.340000,OFF,MAXN,46,37,35,35,0,1724084,1724084,1724084,0,25,OFF,OFF,OFF,0.0,36.0,33.0,30.0,30.0,31.25,2920,2542
2022-04-05 12:17:49.359120,0:10:30.850000,OFF,MAXN,40,28,28,23,0,1723040,1723040,1723040,0,25,OFF,OFF,OFF,0.0,36.0,32.5,29.5,29.0,31.25,1604,2308
2022-04-05 12:17:49.866654,0:10:31.350000,OFF,MAXN,38,34,27,37,0,1724676,1724676,1724676,0,25,OFF,OFF,OFF,0.0,36.0,33.0,29.5,29.5,31.25,2450,2336
2022-04-05 12:17:50.378038,0:10:31.860000,OFF,MAXN,29,33,25,26,0,1724804,1724804,1724804,0,25,OFF,OFF,OFF,0.0,36.0,32.5,30.0,29.5,31.25,1973,2275
2022-04-05 12:17:50.885149,0:10:32.370000,OFF,MAXN,40,38,29,31,0,1726384,1726384,1726384,0,25,OFF,OFF,OFF,0.0,36.0,33.5,30.0,29.5,31.0,2850,2357
2022-04-05 12:17:51.392372,0:10:32.880000,OFF,MAXN,28,32,26,28,2,1725592,1725592,1725592,0,25,OFF,OFF,OFF,0.0,35.5,32.5,29.5,29.0,31.0,1751,2282
2022-04-05 12:17:51.899825,0:10:33.390000,OFF,MAXN,36,30,26,30,0,1725604,1725604,1725604,0,25,OFF,OFF,OFF,0.0,36.0,33.0,29.5,29.0,31.25,2521,2308
2022-04-05 12:17:52.409182,0:10:33.900000,OFF,MAXN,36,25,30,31,0,1725948,1725948,1725948,0,25,OFF,OFF,OFF,0.0,36.0,33.0,29.5,29.5,31.25,2269,2304
2022-04-05 12:17:52.920133,0:10:34.410000,OFF,MAXN,42,17,19,30,0,1726384,1726384,1726384,0,25,OFF,OFF,OFF,0.0,36.0,32.5,29.5,29.5,31.0,2045,2281
2022-04-05 12:17:53.439683,0:10:34.930000,OFF,MAXN,34,30,29,28,0,1726532,1726532,1726532,0,25,OFF,OFF,OFF,0.0,36.0,32.5,29.5,29.5,31.0,1566,2221
2022-04-05 12:17:53.952115,0:10:35.440000,OFF,MAXN,32,28,32,22,0,1726736,1726736,1726736,0,25,OFF,OFF,OFF,0.0,36.0,33.0,29.5,29.5,31.0,1751,2185
2022-04-05 12:17:54.462755,0:10:35.950000,OFF,MAXN,38,22,34,31,0,1729260,1729260,1729260,0,25,OFF,OFF,OFF,0.0,36.0,33.5,30.0,29.5,31.0,2412,2201
2022-04-05 12:17:54.969014,0:10:36.460000,OFF,MAXN,29,26,24,17,0,1727632,1727632,1727632,0,25,OFF,OFF,OFF,0.0,36.0,33.0,29.5,29.0,31.0,1640,2164
2022-04-05 12:17:55.478828,0:10:36.960000,OFF,MAXN,37,32,33,34,0,1728508,1728508,1728508,0,25,OFF,OFF,OFF,0.0,36.0,32.5,29.5,29.0,32.0,1789,2140
2022-04-05 12:17:55.987941,0:10:37.470000,OFF,MAXN,32,27,27,24,0,1728516,1728516,1728516,0,25,OFF,OFF,OFF,0.0,36.0,33.0,29.5,29.5,32.0,1973,2130
2022-04-05 12:17:56.493589,0:10:37.980000,OFF,MAXN,31,26,34,32,0,1728616,1728616,1728616,0,25,OFF,OFF,OFF,0.0,36.0,33.5,29.5,29.5,31.25,2558,2154
2022-04-05 12:17:57.009627,0:10:38.500000,OFF,MAXN,39,26,30,20,0,1728384,1728384,1728384,0,25,OFF,OFF,OFF,0.0,36.0,32.5,29.5,29.0,31.25,1827,2137
2022-04-05 12:17:57.518536,0:10:39,OFF,MAXN,36,28,34,34,0,1729464,1729464,1729464,0,25,OFF,OFF,OFF,0.0,36.0,32.5,30.0,29.0,31.5,1827,2121
2022-04-05 12:17:58.024252,0:10:39.510000,OFF,MAXN,39,34,22,23,0,1728972,1728972,1728972,0,25,OFF,OFF,OFF,0.0,36.0,33.0,30.0,29.5,31.5,2121,2121
2022-04-05 12:17:58.539984,0:10:40.030000,OFF,MAXN,35,26,29,30,0,1729556,1729556,1729556,0,25,OFF,OFF,OFF,0.0,35.5,32.5,29.5,29.5,31.25,2121,2121
2022-04-05 12:17:59.050481,0:10:40.540000,OFF,MAXN,27,32,32,24,8,1729908,1729908,1729908,0,25,OFF,OFF,OFF,0.0,36.0,32.5,29.5,29.0,31.25,1751,2105
2022-04-05 12:17:59.567649,0:10:41.050000,OFF,MAXN,43,30,34,35,0,1732720,1732720,1732720,0,25,OFF,OFF,OFF,0.0,35.5,33.0,29.5,29.5,31.25,1862,2095
2022-04-05 12:18:00.071154,0:10:41.560000,OFF,MAXN,34,38,32,31,0,1733376,1733376,1733376,0,25,OFF,OFF,OFF,0.0,36.0,33.5,29.5,29.5,31.25,2629,2116
2022-04-05 12:18:00.581500,0:10:42.070000,OFF,MAXN,30,23,28,24,0,1732344,1732344,1732344,0,25,OFF,OFF,OFF,0.0,36.0,33.0,29.5,29.5,31.25,1900,2108
2022-04-05 12:18:01.086392,0:10:42.570000,OFF,MAXN,32,30,30,26,0,1733244,1733244,1733244,0,25,OFF,OFF,OFF,0.0,36.0,33.5,29.5,30.0,31.25,2378,2118
2022-04-05 12:18:01.601454,0:10:43.090000,OFF,MAXN,34,34,27,33,0,1730504,1730504,1730504,0,25,OFF,OFF,OFF,0.0,36.0,33.0,30.0,30.0,31.25,2159,2119
2022-04-05 12:18:02.104327,0:10:43.590000,OFF,MAXN,31,36,22,26,0,1731948,1731948,1731948,0,25,OFF,OFF,OFF,0.0,36.0,33.5,29.5,30.0,31.25,2558,2134
2022-04-05 12:18:02.617345,0:10:44.100000,OFF,MAXN,23,29,28,30,0,1730952,1730952,1730952,0,25,OFF,OFF,OFF,0.0,36.0,33.0,29.5,29.5,31.25,1938,2128
2022-04-05 12:18:03.141755,0:10:44.630000,OFF,MAXN,31,30,23,32,0,1733280,1733280,1733280,0,25,OFF,OFF,OFF,0.0,36.0,32.5,29.5,29.0,31.5,1716,2115
2022-04-05 12:18:03.647786,0:10:45.130000,OFF,MAXN,31,40,36,33,0,1733900,1733900,1733900,0,25,OFF,OFF,OFF,0.0,36.0,33.0,30.0,29.5,31.5,2235,2118
2022-04-05 12:18:04.158082,0:10:45.640000,OFF,MAXN,29,25,28,24,0,1736368,1736368,1736368,0,25,OFF,OFF,OFF,0.0,36.0,33.0,30.0,29.5,31.5,2269,2123
2022-04-05 12:18:04.666467,0:10:46.150000,OFF,MAXN,33,31,29,20,3,1735592,1735592,1735592,0,25,OFF,OFF,OFF,0.0,36.0,33.0,29.5,29.5,31.5,2011,2120
2022-04-05 12:18:05.174855,0:10:46.660000,OFF,MAXN,29,37,21,28,0,1736900,1736900,1736900,0,25,OFF,OFF,OFF,0.0,36.0,33.0,30.0,29.5,31.25,1678,2107
2022-04-05 12:18:05.683226,0:10:47.170000,OFF,MAXN,32,36,34,33,0,1737748,1737748,1737748,0,25,OFF,OFF,OFF,0.0,36.0,33.5,30.0,30.0,31.25,2882,2128
2022-04-05 12:18:06.198782,0:10:47.680000,OFF,MAXN,25,28,22,22,0,1736508,1736508,1736508,0,25,OFF,OFF,OFF,0.0,36.0,33.0,29.5,29.5,31.25,1827,2120
2022-04-05 12:18:06.701199,0:10:48.190000,OFF,MAXN,30,27,36,31,0,1737028,1737028,1737028,0,25,OFF,OFF,OFF,0.0,36.0,33.0,30.0,29.5,31.75,2231,2123
2022-04-05 12:18:07.213422,0:10:48.700000,OFF,MAXN,31,30,26,28,0,1737580,1737580,1737580,0,25,OFF,OFF,OFF,0.0,36.0,33.0,30.0,29.5,31.75,1900,2117
2022-04-05 12:18:07.724371,0:10:49.210000,OFF,MAXN,34,36,35,33,0,1738048,1738048,1738048,0,25,OFF,OFF,OFF,0.0,36.0,33.5,30.0,30.0,31.25,3134,2143
2022-04-05 12:18:08.233028,0:10:49.720000,OFF,MAXN,27,35,17,22,0,1735564,1735564,1735564,0,25,OFF,OFF,OFF,0.0,36.0,33.0,30.0,29.5,31.25,1640,2131
2022-04-05 12:18:08.743276,0:10:50.230000,OFF,MAXN,35,34,30,32,0,1735892,1735892,1735892,0,25,OFF,OFF,OFF,0.0,36.0,33.0,30.0,30.0,31.5,2159,2131
2022-04-05 12:18:09.266235,0:10:50.750000,OFF,MAXN,31,31,24,28,0,1736888,1736888,1736888,0,25,OFF,OFF,OFF,0.0,36.5,33.0,30.5,30.0,31.5,2083,2130
2022-04-05 12:18:09.803290,0:10:51.290000,OFF,MAXN,34,32,26,26,0,1737824,1737824,1737824,0,25,OFF,OFF,OFF,0.0,36.5,33.5,29.5,30.0,31.25,2337,2135
2022-04-05 12:18:10.290243,0:10:51.780000,OFF,MAXN,34,29,29,29,0,1737532,1737532,1737532,0,25,OFF,OFF,OFF,0.0,36.0,33.0,29.5,29.5,31.25,1789,2127
2022-04-05 12:18:10.817579,0:10:52.300000,OFF,MAXN,31,33,27,24,0,1737920,1737920,1737920,0,25,OFF,OFF,OFF,0.0,36.0,32.5,29.5,29.5,31.25,1789,2120
2022-04-05 12:18:11.317663,0:10:52.800000,OFF,MAXN,36,30,35,30,0,1737948,1737948,1737948,0,25,OFF,OFF,OFF,0.0,36.0,33.0,30.0,29.5,31.25,2450,2127
2022-04-05 12:18:11.833039,0:10:53.320000,OFF,MAXN,30,25,26,24,0,1739328,1739328,1739328,0,25,OFF,OFF,OFF,0.0,35.5,33.0,30.0,29.5,31.25,1751,2119
2022-04-05 12:18:12.343464,0:10:53.830000,OFF,MAXN,35,33,32,33,0,1737684,1737684,1737684,0,25,OFF,OFF,OFF,0.0,36.0,33.0,30.0,29.5,31.5,1751,2111
2022-04-05 12:18:12.847991,0:10:54.330000,OFF,MAXN,30,26,26,30,0,1735660,1735660,1735660,0,25,OFF,OFF,OFF,0.0,36.5,33.5,29.5,29.5,31.5,1976,2109
2022-04-05 12:18:13.360802,0:10:54.850000,OFF,MAXN,32,32,29,24,0,1736916,1736916,1736916,0,25,OFF,OFF,OFF,0.0,36.5,33.5,30.0,30.0,33.0,2487,2116
2022-04-05 12:18:13.869343,0:10:55.360000,OFF,MAXN,30,28,21,28,0,1736040,1736040,1736040,0,25,OFF,OFF,OFF,0.0,36.0,32.5,30.0,29.5,33.0,1640,2107
2022-04-05 12:18:14.377477,0:10:55.860000,OFF,MAXN,36,36,34,34,0,1739832,1739832,1739832,0,25,OFF,OFF,OFF,0.0,36.0,33.0,30.0,30.0,31.75,1862,2102
2022-04-05 12:18:14.888068,0:10:56.370000,OFF,MAXN,37,26,25,20,0,1739928,1739928,1739928,0,25,OFF,OFF,OFF,0.0,36.0,33.0,30.0,29.5,31.75,2121,2103
2022-04-05 12:18:15.392200,0:10:56.880000,OFF,MAXN,35,23,22,23,0,1741588,1741588,1741588,0,25,OFF,OFF,OFF,0.0,36.5,33.0,30.0,30.0,31.5,2487,2110
2022-04-05 12:18:15.904235,0:10:57.390000,OFF,MAXN,29,28,22,26,12,1741124,1741124,1741124,0,25,OFF,OFF,OFF,0.0,36.0,33.0,30.0,29.5,31.5,1862,2105
2022-04-05 12:18:16.412970,0:10:57.900000,OFF,MAXN,34,34,34,29,0,1742268,1742268,1742268,0,25,OFF,OFF,OFF,0.0,36.0,32.5,29.5,30.0,31.5,1827,2100
2022-04-05 12:18:16.922997,0:10:58.410000,OFF,MAXN,33,22,27,27,0,1742260,1742260,1742260,0,25,OFF,OFF,OFF,0.0,36.5,33.0,30.0,30.0,31.5,2374,2105
